PE1,PE2,PE3,PE4,PE5,SI1,SI2,SI3,SI4,SI5,FC1,FC2,FC3,FC4,FC5,HM1,HM2,HM3,HM4,HM5,HM6,HM7,PV1,PV2,PV3,PV4,HT1,HT2,HT3,HT4,HT5,EE1,EE2,EE3,EE4,EE5,BI1,BI2,BI3,BI4,BI5
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
5,3,6,5,6,5,6,6,5,3,5,5,4,6,4,5,6,5,5,5,5,6,5,4,5,4,disagree,neutral,neutral,neutral,disagree,5,3,4,4,4,4,4,4,4,4
1,2,4,1,3,5,4,6,2,1,1,1,2,4,4,4,4,3,4,5,5,3,4,5,4,6,somewhat_agree,neutral,agree,neutral,option,3,4,5,3,1,4,4,4,6,6
5,4,2,5,4,6,6,5,5,6,6,5,5,5,5,2,1,1,1,2,1,2,6,5,5,5,neutral,somewhat_agree,somewhat_agree,agree,neutral,4,4,4,4,5,1,6,2,4,6
6,6,6,6,6,4,4,4,5,5,3,3,5,4,5,5,6,6,6,6,6,6,4,4,4,4,neutral,neutral,neutral,neutral,agree,5,5,4,4,3,4,4,4,4,4
6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,2,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,neutral,neutral,neutral,neutral,disagree,4,4,4,4,4,4,4,4,4,4
6,6,6,6,6,5,5,4,4,6,5,5,5,6,6,4,4,4,4,4,2,4,6,6,6,6,agree,agree,somewhat_agree,agree,agree,1,2,4,3,4,5,6,5,4,4
5,5,6,5,4,6,5,4,5,4,4,5,3,5,5,5,5,5,5,5,6,6,5,6,5,5,agree,neutral,agree,agree,agree,5,4,5,4,4,6,5,5,5,5
4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,neutral,neutral,neutral,neutral,somewhat_agree,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,5,1,1,2,4,2,4,1,7,4,5,5,4,5,5,3,5,4,1,somewhat_agree,strongly_agree,strongly_agree,strongly_agree,somewhat_disagree,4,4,4,4,5,1,4,7,5,4
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,neutral,neutral,neutral,neutral,neutral,3,3,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,4,3,5,4,4,5,5,5,5,5,5,5,5,5,5,5,disagree,disagree,disagree,disagree,disagree,5,3,3,3,3,4,5,5,5,5
